JD,Bmag,Vmag,Rcmag,Icmag,Tel
5799.3915,14.288,14.033,13.845,,"ANS 61 "
5801.3359,12.768,12.704,12.530,12.438,"ANS 61 "
5802.3232,12.263,12.265,12.015,11.959,"ANS 61 "
5803.3184,11.723,11.791,11.585,11.633,"ANS 61 "
5803.3244,11.688,11.682,11.540,,"ANS 11 "
5804.3158,11.309,11.256,11.179,11.098,"ANS 11 "
5804.3165,11.307,11.420,11.232,11.228,"ANS 61 "
5805.3058,10.880,11.065,10.934,10.868,"ANS 11 "
5805.3196,10.983,11.074,10.882,10.877,"ANS 61 "
5805.3638,10.937,11.044,10.863,10.854,"ANS 61 "
5806.2818,10.830,10.796,10.608,10.476,"ANS 11 "
5807.2831,10.621,10.580,10.464,10.443,"ANS 11 "
5807.3293,10.488,10.624,10.456,10.493,"ANS 61 "
5808.2834,10.399,10.411,10.343,10.304,"ANS 11 "
5809.2892,10.212,10.289,10.130,10.256,"ANS 11 "
5811.2878,10.006,10.120,10.104,10.172,"ANS 11 "
5811.3228,10.049,10.187,10.077,10.223,"ANS 61 "
5813.2927,9.931,10.051,9.954,10.137,"ANS 61 "
5814.2798,9.940,9.971,10.037,10.162,"ANS 11 "
5814.2929,9.908,9.999,9.953,10.246,"ANS 61 "
5815.2803,9.916,10.024,9.926,10.196,"ANS 11 "
5815.2940,9.893,9.988,9.920,10.180,"ANS 61 "
5815.3468,9.931,10.028,9.964,10.214,"ANS 130"
5816.2831,9.895,10.102,9.955,10.283,"ANS 11 "
5817.2747,9.968,10.006,10.017,10.330,"ANS 11 "
5817.3166,9.931,9.974,9.924,10.278,"ANS 61 "
5818.2825,9.972,10.028,9.990,10.298,"ANS 11 "
5818.2918,9.960,10.011,9.974,10.352,"ANS 61 "
5819.2864,10.081,10.005,9.953,10.407,"ANS 11 "
5819.2999,10.023,10.016,9.969,10.391,"ANS 61 "
5820.2812,10.068,9.989,9.940,10.364,"ANS 61 "
5820.2833,10.050,10.110,10.015,10.318,"ANS 11 "
5821.2857,10.093,10.080,10.033,10.438,"ANS 61 "
5821.3668,10.176,10.091,10.077,10.430,"ANS 130"
5822.2663,10.198,10.011,10.192,10.442,"ANS 11 "
5822.3217,10.227,10.155,10.147,10.510,"ANS 130"
5824.3077,10.389,10.303,10.259,10.697,"ANS 61 "
5825.3297,10.465,10.314,10.304,10.728,"ANS 61 "
