JD,Bmag,Vmag,Rcmag,Icmag,Tel
6072.3727,13.035,12.893,12.711,12.582,"ANS 157"
6072.3967,,12.852,,12.492,"ANS 11 "
6073.4303,12.849,12.636,12.480,12.392,"ANS 157"
6074.3370,12.761,12.539,12.344,12.320,"ANS 11 "
6076.3644,12.485,12.310,12.097,12.073,"ANS 157"
6078.3677,12.298,12.146,11.929,11.951,"ANS 157"
6080.3689,12.223,12.026,11.890,11.859,"ANS 157"
6084.3318,12.184,11.975,11.801,11.855,"ANS 11 "
6084.3666,12.219,11.954,11.821,12.051,"ANS 157"
6086.3389,12.234,12.079,,12.032,"ANS 11 "
6088.3801,12.347,12.066,11.878,,"ANS 157"
6090.3679,12.492,12.141,11.994,12.232,"ANS 157"
6093.3861,12.787,12.300,12.179,12.189,"ANS 11 "
6094.3868,12.860,12.327,12.170,12.576,"ANS 11 "
6094.4045,12.826,12.319,,,"ANS 157"
6095.3845,12.921,12.371,,12.578,"ANS 11 "
6096.3720,13.046,12.454,12.322,12.522,"ANS 157"
6097.3697,13.127,12.533,12.405,12.418,"ANS 157"
6098.3503,13.261,12.524,,12.740,"ANS 11 "
6100.3713,13.467,12.640,12.541,12.498,"ANS 157"
6101.3818,13.583,12.745,,12.460,"ANS 11 "
6105.3752,13.939,12.854,12.554,12.374,"ANS 157"
6113.3878,14.577,13.258,,,"ANS 157"
6116.3744,14.637,13.424,,,"ANS 157"
