JD,Bmag,Vmag,Rcmag,Icmag,Tel
6004.4127,13.792,13.863,13.816,13.716,"ANS 130"
6004.4830,13.785,13.835,13.736,13.628,"ANS 61 "
6006.4057,13.602,13.580,13.426,13.313,"ANS 157"
6006.4458,13.594,13.589,13.450,13.355,"ANS 61 "
6007.3256,13.564,13.492,13.350,13.244,"ANS 130"
6007.4115,13.547,13.492,13.337,13.213,"ANS 61 "
6008.3736,13.505,13.420,13.252,13.153,"ANS 157"
6008.4133,13.528,13.427,13.259,13.134,"ANS 61 "
6008.4419,13.514,13.413,13.231,13.163,"ANS 11 "
6009.3037,13.502,13.352,13.196,13.082,"ANS 61 "
6009.3514,13.498,13.387,13.186,13.091,"ANS 157"
6009.4240,13.449,13.342,13.193,13.078,"ANS 130"
6009.4519,13.481,13.366,13.186,13.126,"ANS 11 "
6009.7358,13.525,13.364,13.204,13.096,"K 35   "
6010.3456,13.492,13.343,13.169,13.059,"ANS 157"
6010.3598,13.508,13.333,13.176,13.068,"ANS 61 "
6010.4744,13.456,13.325,13.162,13.047,"ANS 61 "
6010.5456,13.475,13.329,13.162,13.036,"ANS 130"
6010.7187,13.476,13.342,13.178,13.057,"K 35   "
6011.3578,13.452,13.329,13.132,13.031,"ANS 157"
6012.4148,13.498,13.300,13.129,13.008,"ANS 61 "
6012.4271,13.508,13.306,13.140,12.995,"ANS 11 "
6013.3084,13.520,13.308,13.108,13.002,"ANS 61 "
6013.3983,13.490,13.315,13.173,13.011,"ANS 157"
6013.4234,13.514,13.311,13.157,12.985,"ANS 11 "
6013.7282,13.495,13.300,13.102,12.991,"K 35   "
6014.4251,13.524,13.327,13.128,12.980,"ANS 130"
6014.4252,13.553,13.324,13.136,12.993,"ANS 11 "
6015.4093,13.551,13.335,13.115,12.976,"ANS 157"
6015.4221,13.518,13.352,13.137,12.997,"ANS 11 "
6016.3822,13.542,13.346,13.123,12.956,"ANS 130"
6016.7275,13.525,13.299,13.080,12.953,"K 35   "
6017.3321,13.538,13.332,13.086,12.926,"ANS 130"
6017.3372,13.563,13.348,13.134,12.963,"ANS 157"
6017.4015,13.623,13.338,13.109,12.957,"ANS 61 "
6017.4198,13.573,13.349,13.124,12.962,"ANS 11 "
6017.7196,13.545,13.312,13.075,12.904,"K 35   "
6018.4151,13.608,13.346,13.110,12.945,"ANS 11 "
6019.3380,13.608,13.348,13.109,12.929,"ANS 157"
6024.3411,13.736,13.311,13.051,12.868,"ANS 157"
6026.3927,13.830,13.315,13.065,12.866,"ANS 11 "
6027.3324,13.871,13.336,13.071,12.864,"ANS 157"
6027.4041,13.853,13.324,13.089,12.860,"ANS 11 "
6027.6901,13.876,13.327,13.041,12.854,"K 35   "
6029.6872,13.961,13.341,13.048,12.832,"K 35   "
6033.6751,14.118,13.384,13.071,12.836,"K 35   "
6035.3403,14.141,13.419,13.100,12.828,"ANS 130"
6038.4171,14.255,13.439,13.117,12.829,"ANS 157"
6039.3540,14.314,13.452,13.094,12.848,"ANS 61 "
6039.6354,14.264,13.432,13.074,12.811,"K 35   "
6040.3532,14.319,13.437,13.080,12.836,"ANS 11 "
6041.4491,14.292,13.447,13.085,12.814,"ANS 130"
6042.6211,14.459,13.482,13.101,,"K 35   "
6044.3573,14.364,13.481,13.107,12.795,"ANS 130"
6044.3613,14.367,13.467,13.088,12.812,"ANS 11 "
6044.4041,14.379,13.489,13.087,12.833,"ANS 61 "
6045.3456,14.345,13.482,13.106,12.818,"ANS 11 "
6045.3496,14.396,13.485,13.091,12.802,"ANS 157"
6045.6243,14.445,13.493,13.110,12.833,"K 35   "
6046.3251,14.488,13.492,13.096,12.825,"ANS 61 "
6046.6249,14.502,13.493,13.083,12.812,"K 35   "
6047.6256,14.475,13.482,13.089,12.812,"K 35   "
6049.6368,14.502,13.497,13.052,12.774,"K 35   "
6050.3321,14.487,13.513,13.099,12.825,"ANS 11 "
6051.3927,14.543,13.499,13.062,12.784,"ANS 61 "
6051.6556,14.508,13.505,13.053,12.761,"K 35   "
6052.3350,14.509,13.525,13.065,12.795,"ANS 11 "
6052.3539,14.537,13.510,13.085,12.763,"ANS 157"
6052.6377,14.555,13.501,13.055,12.766,"K 35   "
6053.6537,14.539,13.494,13.042,12.768,"K 35   "
6054.6237,14.582,13.520,13.075,,"K 35   "
6057.3560,14.595,13.529,13.061,12.748,"ANS 157"
6057.3639,14.633,13.514,13.049,12.765,"ANS 61 "
6058.3787,14.664,13.515,13.067,12.785,"ANS 130"
6060.3911,14.714,13.516,13.064,12.773,"ANS 130"
6063.3423,14.680,13.557,13.080,12.777,"ANS 11 "
6063.4154,14.739,13.529,13.067,12.769,"ANS 130"
6064.3784,14.679,13.564,13.056,12.739,"ANS 157"
6065.3316,14.713,13.564,13.078,12.765,"ANS 11 "
6065.3582,14.772,13.541,13.066,12.772,"ANS 130"
6065.3854,14.783,13.572,13.066,12.770,"ANS 61 "
6065.6185,,13.580,13.067,12.782,"K 35   "
6066.6240,,13.579,13.084,12.751,"K 35   "
6067.3384,14.729,13.557,13.076,12.780,"ANS 11 "
6067.3886,14.785,13.559,13.056,12.761,"ANS 61 "
6067.6199,,13.604,13.084,12.791,"K 35   "
6068.6355,,13.571,13.050,12.734,"K 35   "
6069.6270,,13.572,13.048,12.738,"K 35   "
6070.6217,,13.568,13.046,12.745,"K 35   "
6071.3993,14.789,13.600,13.045,,"ANS 157"
6072.3610,14.848,13.584,13.082,12.779,"ANS 130"
6073.6276,,13.612,13.089,12.763,"K 35   "
6074.3509,14.830,13.587,13.053,12.753,"ANS 61 "
6074.6282,,13.616,13.073,12.774,"K 35   "
6075.6289,,13.615,13.078,12.772,"K 35   "
6076.3611,14.889,13.589,13.064,12.757,"ANS 61 "
6076.6293,,13.611,13.056,12.772,"K 35   "
6077.6491,,13.618,13.084,12.754,"K 35   "
6078.6840,,13.612,13.068,12.747,"K 35   "
6086.6528,,13.669,13.095,,"K 35   "
6090.6556,,13.703,13.109,12.810,"K 35   "
6093.3544,15.158,13.711,13.144,12.830,"ANS 130"
6093.3607,,13.717,,12.842,"ANS 11 "
6093.3795,15.151,13.727,13.111,12.827,"ANS 61 "
6094.3630,,13.739,,12.852,"ANS 11 "
6094.3747,15.169,13.726,13.150,12.827,"ANS 130"
6095.3609,,13.751,,12.846,"ANS 11 "
6095.3666,15.148,13.751,13.178,12.862,"ANS 130"
