Object,glon,glat,dist,e_dist,Vlsr,e_Vlsr,Assoc
S8        ,351.36,0.61,1.7,0.3,-4.3,1.5,
S11       ,352.8,0.64,1.74,0.3,-3.9,1,
S27       ,4.24,22.51,0.17,0.05,3,1.5,
S25       ,5.95,-1.3,1.8,0.2,12,1.5,S29; S31; S32
S45       ,15,-0.68,2.2,0.2,20,2,S40; S41; S43;S44
S46       ,15.42,3.31,2,0.7,18,1,S47
S48       ,16.58,-0.35,2.9,0.9,44.6,1.3,
S49       ,17.06,0.7,2.2,0.22,24.2,2,
S54       ,18.9,2.09,2,0.2,27.6,0.5,
S65       ,29.05,-0.76,3.5,1.2,52.4,1,
S69       ,31.83,1.46,3.6,1.2,55.4,1,
S74       ,39.86,-1.23,2.1,0.8,48.1,1.8,
S82       ,53.56,0.04,1.1,0.4,24,1,
S86       ,59.66,-0.21,1.9,0.2,26.8,1.4,S87; S88;S89; S90
S90       ,63.12,0.44,4,1.3,22.2,1,
S93       ,64.14,-0.47,3.2,1.1,21.3,1.3,
S97       ,66.83,0.87,3.9,0.3,21,1,
S99       ,70.15,1.71,8,2.5,-22.9,2,S100
S101      ,71.59,2.76,2.5,0.8,13.7,0.4,
S104      ,74.79,0.57,4.4,1.4,0,2,
S112      ,83.78,3.28,2.1,0.7,-4,2,
S117      ,84.64,0.2,0.8,0.3,0,3,
S119      ,87.06,-4.19,0.7,0.25,3.5,1.5,
S121      ,90.23,1.72,4.8,1.4,-60.9,0.5,
S125      ,94.4,-5.57,1,0.16,8,1,
S124      ,94.57,-1.45,2.6,0.6,-43.4,1.1,
S127      ,96.27,2.57,7.3,2.3,-94.7,0.4,
S126      ,96.72,-15.14,0.6,0.2,-0.2,0.4,
S128      ,97.56,3.16,6.2,2.3,-72.5,0.4,
S129      ,99.06,7.4,0.4,0.13,-13.9,0.7,
S132      ,102.96,-0.8,4.2,1.5,-48.5,1.5,
S134      ,103.72,2.18,0.9,0.3,-16.1,0.5,
S135      ,104.59,1.37,1.4,0.4,-20.7,0.5,
S137      ,105.15,7.12,0.6,0.2,-10.3,1.4,
S139      ,105.77,-0.15,3.3,1.1,-46.5,0.5,
S140      ,106.81,5.31,0.9,0.1,-8.5,1,
S142      ,107.28,-0.9,3.4,0.3,-41,0.5,
S149      ,108.34,-1.12,5.4,1.7,-53.1,1.3,
S152      ,108.75,-0.93,3.6,1.1,-50.4,0.5,S153
S154      ,109.17,1.47,1.4,0.4,-11.5,0.9,
S156      ,110.11,0.05,6.4,2,-51,2,
S155      ,110.22,2.55,0.73,0.12,-10,1.5,
S157      ,111.28,-0.66,2.5,0.4,-43,2,
S158      ,111.54,0.78,2.8,0.9,-56.1,1.1,
S159      ,111.61,0.37,3.1,1.2,-56,1,
S161B     ,111.89,0.88,2.8,0.9,-51.9,0.7,
S162      ,112.19,0.22,3.5,1.1,-44.7,0.5,
S163      ,113.52,-0.57,2.3,0.7,-44.9,3.8,
S165      ,114.65,0.14,1.6,0.5,-33,1,
S168      ,115.79,-1.65,3.8,1.2,-40.6,1.4,
S170      ,117.57,2.26,2.3,0.7,-43.7,1,
S173      ,119.4,-0.84,2.7,0.9,-34.5,2.8,
S175      ,120.36,1.97,1.7,0.5,-49.6,0.5,
S177      ,120.63,-0.14,2.5,0.8,-34.2,0.4,
S184      ,123.04,-6.32,2.2,0.7,-30.4,1.1,
S190      ,133.71,1.21,2.1,0.2,-46,5.3,
S199      ,138.3,1.56,2.1,0.2,-39,1,
S202      ,139.99,2.09,0.8,0.3,-11.5,2,
S206      ,150.68,-0.77,3.3,0.8,-22.6,0.5,
S208      ,151.27,1.97,7.6,0.8,-30.2,0.4,
S209      ,151.61,-0.24,8.2,2.4,-52.2,2.4,
S211      ,154.65,2.46,5.9,1.8,-37.6,0.9,
S212      ,155.39,2.65,6,0.6,-35.3,0.3,
S217      ,159.15,3.27,5.2,0.8,-20.5,1.1,
S219      ,159.36,2.57,4.2,0.6,-24.5,1.2,
S220      ,160.31,-12.34,0.4,0.04,7,3,
S228      ,169.19,-0.9,3.5,1.1,-8.7,2.5,
S232      ,173.43,3.17,1,0.3,-23,0.5,
S231      ,173.47,2.55,2.3,0.7,-18.1,0.9,S233; S 235
S234      ,173.48,-0.05,2.3,0.7,-13.4,0.7,
S236      ,173.6,-1.78,3.2,0.3,-7.2,0.5,
S237      ,173.97,0.25,1.8,0.3,-4.3,0.7,
S238      ,176.24,-20.88,0.15,0.05,8.1,0.9,S239
S241      ,180.79,4.03,4.7,1.2,-6.5,1,
S242      ,182.36,0.19,2.1,0.7,0,0.5,
S247      ,188.96,0.85,3.5,0.9,2.9,1.2,
S249      ,189.45,4.38,1.6,0.5,-5.3,2.6,
S252      ,189.81,0.33,1.5,0.15,7.5,1,
S253      ,192.23,3.59,4.4,0.4,14.4,0.5,
S254      ,192.61,-0.04,2.5,0.4,7.5,0.7,S255; S256; S257; S258
S259      ,192.91,-0.63,8.3,2.6,22.8,0.5,
S263      ,194.59,-15.74,0.45,0.14,0.3,1,
S269      ,196.45,-1.68,3.8,1,17.5,0.7,
S264      ,196.92,-10.37,0.4,0.13,12,0.5,
S271      ,197.8,-2.33,4.8,0.5,20.5,0.5,S272
S273      ,203.24,2.09,0.8,0.15,7,1,
S275      ,207.02,-1.82,1.6,0.2,14.3,0.1,
S281      ,208.99,-19.39,0.5,0.05,8,1.5,"S276; S277, S278; S79"
S283      ,210.81,-2.56,9.1,2.9,49.4,2.8,
BFS54     ,211.27,-0.35,8.7,2.8,21.4,0.5,
S284      ,211.86,-1.18,5.2,0.8,45,0.7,
S285      ,213.81,0.61,6.9,0.7,45.3,1.1,
S287      ,218.15,-0.35,3.2,0.8,27.2,0.8,
S288      ,218.77,1.95,3,1.2,56.7,0.8,
S292      ,224.1,-1.96,1.15,0.14,18.4,1,S293; S295; S296; S97
S294      ,224.19,1.22,4.6,1.5,32.9,1.1,
BBW4      ,228.97,-4.65,1.09,0.22,19.6,0.5,
BBW37     ,231.06,1.5,3.6,0.42,50.4,2.4,BBW40
BBW7A     ,231.51,-4.36,4.23,0.55,52.3,0.5,BBW7D
BBW6      ,231.57,-4.47,1.5,0.31,51.8,0.5,
BBW41     ,232.56,0.86,1.75,0.16,16.7,0.5,
BBW32     ,233.75,-0.2,3.96,0.96,44.1,0.6,
BBW50     ,234.58,0.83,3.08,0.7,46.7,0.5,
BBW42     ,234.74,-0.27,3.18,0.56,43,0.5,
BBW16     ,235.54,-4.06,1.93,0.34,28.2,2.1,
BBW33B    ,235.69,-1.25,5.4,2,74.7,0.5,
BBW29     ,236.6,-2.17,2.29,0.47,26.3,0.4,
BBW49     ,237.74,-0.96,3.02,0.52,22.3,0.5,
BBW17B    ,238.49,-4.66,1.35,0.08,20.6,2.2,BBW22;BBW23
BBW51A    ,239.04,-1.66,1.54,0.5,18.9,0.5,BBW51B
S310      ,239.65,-4.94,1.5,0.5,22.3,1,
BBW15     ,239.83,-6.52,1.73,0.35,28.2,0.5,
BBW19     ,240.88,-6.52,2.42,0.49,32.5,0.5,
BBW66A    ,241.52,-0.58,4.7,0.63,70.1,0.6,BBW66B
BBW80     ,243.16,0.35,4.51,0.44,49.8,0.5,
BBW98     ,246.01,1.26,2.52,0.51,58,3.6,
BBW96     ,246.01,1.19,6.67,1.13,59.9,3,BBW97
BBW110    ,247.47,2.19,4.04,0.82,40.8,0.2,
BBW90     ,247.83,-0.48,3.18,0.49,56.1,1.4,BBW92
BBW61     ,248.01,-5.46,4.35,0.5,51.3,0.5,
BBW101    ,248.9,-0.01,1.62,0.19,13.5,0.5,
