lon,lat,F475W,e_F475W,F814W,e_F814W,F110W,e_F110W,F160W,e_F160W,period,src,reference,equinox,bounding
10.91937,41.21261,22.948,0.052,20.682,0.04,19.982,0.073,19.303,0.1,10.045,PAndromeda,icrs,J2000,ccs
11.27651,41.69481,20.764,0.037,19.608,0.053,19.333,0.057,18.883,0.046,10.054,PAndromeda,icrs,J2000,ccs
11.01628,41.62777,21.076,0.009,19.796,0.033,19.213,0.081,18.786,0.088,10.101,PAndromeda,icrs,J2000,ccs
11.46423,42.14078,21.448,0.006,19.823,0.004,19.173,0.052,18.719,0.063,10.234,PAndromeda,icrs,J2000,ccs
11.02203,41.23451,22.039,0.036,20.254,0.025,19.686,0.105,19.134,0.111,10.29,DIRECT    ,icrs,J2000,ccs
11.09179,41.35495,21.736,0.014,19.94,0.021,19.49,0.101,18.989,0.114,10.296,PAndromeda,icrs,J2000,ccs
11.1849,41.92719,21.163,0.005,19.796,0.017,19.452,0.097,18.895,0.108,10.3,Riess     ,icrs,J2000,ccs
11.17153,41.40722,22.208,0.037,20.239,0.024,19.399,0.1,18.858,0.105,10.35,DIRECT    ,icrs,J2000,ccs
11.34817,42.03007,21.452,0.034,19.829,0.017,19.666,0.027,19.076,0.038,10.371,PAndromeda,icrs,J2000,ccs
11.38078,41.88077,21.902,0.035,20.033,0.02,19.53,0.044,19.056,0.07,10.43,Riess     ,icrs,J2000,ccs
11.35831,42.04045,21.834,0.007,20.117,0.004,19.626,0.166,19.054,0.186,10.462,PAndromeda,icrs,J2000,ccs
10.87337,41.23684,21.06,0.009,19.541,0.043,19.313,0.102,18.804,0.096,10.495,PAndromeda,icrs,J2000,ccs
11.70992,42.00694,20.957,0.033,19.567,0.015,19.051,0.077,18.618,0.088,10.521,PAndromeda,icrs,J2000,ccs
11.13846,41.62605,21.12,0.004,19.548,0.006,19.167,0.051,18.616,0.032,10.567,DIRECT    ,icrs,J2000,ccs
11.36852,41.65947,22.249,0.008,20.258,0.007,19.886,0.077,19.249,0.101,10.574,PAndromeda,icrs,J2000,ccs
11.05337,41.30684,22.346,0.011,20.267,0.007,19.72,0.116,19.116,0.125,10.635,PAndromeda,icrs,J2000,ccs
10.97247,41.63117,20.445,0.033,19.365,0.014,19.105,0.059,18.662,0.059,10.73,Riess     ,icrs,J2000,ccs
10.97452,41.22365,22.625,0.026,20.264,0.032,19.54,0.055,18.907,0.071,10.74,PAndromeda,icrs,J2000,ccs
10.7426,41.18894,21.046,0.01,19.658,0.009,19.146,0.124,18.679,0.138,10.76,PAndromeda,icrs,J2000,ccs
11.1698,41.39944,21.772,0.035,20.141,0.022,19.504,0.103,19.035,0.123,10.847,DIRECT    ,icrs,J2000,ccs
11.09179,41.66419,21.8,0.035,19.999,0.02,19.483,0.085,19.022,0.08,10.865,PAndromeda,icrs,J2000,ccs
10.98764,41.24036,23.13,0.07,19.874,0.02,19.494,0.116,18.671,0.105,10.938,DIRECT    ,icrs,J2000,ccs
11.09263,41.32135,20.808,0.029,19.586,0.019,19.301,0.133,18.828,0.142,10.943,DIRECT    ,icrs,J2000,ccs
11.41021,41.90365,23.098,0.057,20.676,0.04,19.843,0.132,19.142,0.133,10.946,PAndromeda,icrs,J2000,ccs
11.57628,42.21595,22.5,0.041,20.399,0.029,19.92,0.115,19.311,0.119,10.97,Riess     ,icrs,J2000,ccs
11.23197,41.86521,20.984,0.004,19.5,0.004,19.189,0.041,18.752,0.06,11.132,PAndromeda,icrs,J2000,ccs
11.3325,41.78882,22.337,0.006,20.241,0.006,19.352,0.07,18.786,0.081,11.136,PAndromeda,icrs,J2000,ccs
11.61509,42.07467,20.619,0.033,19.444,0.014,19.447,0.109,18.91,0.116,11.145,PAndromeda,icrs,J2000,ccs
11.41549,41.91047,20.838,0.033,19.554,0.015,19.314,0.095,18.826,0.115,11.167,PAndromeda,icrs,J2000,ccs
