1: 1/1/2015 00:06 34.68, -98.39 Test
2: 1/1/2015 00:30 44.79, -92.91 None
3: 1/1/2015 00:31 39.97, -84.91 Test
4: 1/1/2015 00:44 32.30, -110.79 Rain
5: 1/1/2015 00:45 34.17, -97.07 Test
6: 1/1/2015 00:48 39.02, -76.93 None
7: 1/1/2015 00:55 30.95, -97.52 Test
8: 1/1/2015 01:11 42.93, -85.63 Snow
9: 1/1/2015 01:20 45.65, -88.35 None
10: 1/1/2015 01:27 31.74, -97.53 None
11: 1/1/2015 01:30 29.89, -97.95 Rain
12: 1/1/2015 01:32 29.89, -97.94 Drizzle
13: 1/1/2015 01:44 29.89, -97.94 Drizzle
14: 1/1/2015 01:46 30.89, -97.40 Test
15: 1/1/2015 01:48 30.89, -97.40 None
16: 1/1/2015 02:01 45.37, -84.96 Snow
17: 1/1/2015 02:02 32.25, -82.91 Test
18: 1/1/2015 02:06 42.77, -78.62 Snow
19: 1/1/2015 02:10 43.12, -78.68 Snow
20: 1/1/2015 02:11 38.06, -84.74 None
21: 1/1/2015 02:11 38.37, -87.54 None
22: 1/1/2015 02:18 34.47, -114.25 Snow
23: 1/1/2015 02:18 34.47, -114.25 Snow
24: 1/1/2015 02:18 34.47, -114.25 Snow
25: 1/1/2015 02:18 34.47, -114.25 Snow
26: 1/1/2015 02:21 29.80, -98.77 Drizzle
27: 1/1/2015 02:23 44.95, -123.08 None
28: 1/1/2015 02:24 34.50, -114.29 Snow
29: 1/1/2015 02:39 43.03, -78.72 Snow
30: 1/1/2015 02:41 32.30, -110.82 Rain
31: 1/1/2015 02:46 37.17, -94.55 Test
32: 1/1/2015 02:47 42.84, -70.86 Test
33: 1/1/2015 02:24 34.50, -114.29 Snow
34: 1/1/2015 02:48 42.84, -70.86 Test
35: 1/1/2015 02:58 37.33, -85.39 None
36: 1/1/2015 02:59 32.26, -110.84 Rain
37: 1/1/2015 03:15 43.57, -116.60 None
38: 1/1/2015 03:15 43.57, -116.60 None
39: 1/1/2015 03:15 43.57, -116.60 None
40: 1/1/2015 03:16 32.28, -110.74 Rain
41: 1/1/2015 03:24 34.48, -114.34 None
42: 1/1/2015 03:26 31.73, -97.01 Test
43: 1/1/2015 03:26 34.47, -114.25 Rain
44: 1/1/2015 03:26 32.40, -100.72 Rain/Snow
45: 1/1/2015 03:27 32.41, -99.70 Ice Pellets
46: 1/1/2015 03:32 32.40, -98.82 None
47: 1/1/2015 03:34 32.41, -99.49 Ice Pellets
48: 1/1/2015 03:34 32.44, -98.99 Ice Pellets
49: 1/1/2015 03:37 32.40, -98.82 Freezing Rain
50: 1/1/2015 03:37 32.36, -98.73 Rain
51: 1/1/2015 03:38 31.91, -100.48 Ice Pellets
52: 1/1/2015 03:41 32.40, -98.82 Freezing Rain
53: 1/1/2015 03:43 32.41, -99.77 Freezing Rain
54: 1/1/2015 03:48 32.30, -110.82 Rain
55: 1/1/2015 03:55 32.44, -99.70 Freezing Rain
56: 1/1/2015 04:02 31.42, -100.48 Freezing Drizzle
57: 1/1/2015 04:04 33.00, -97.26 Rain
58: 1/1/2015 04:07 33.38, -111.95 Drizzle
59: 1/1/2015 04:08 33.04, -97.33 Drizzle
60: 1/1/2015 04:08 35.24, -97.36 Test
61: 1/1/2015 04:10 32.37, -98.69 Ice Pellets
62: 1/1/2015 04:12 30.41, -97.69 Drizzle
63: 1/1/2015 04:13 31.74, -97.55 Drizzle
64: 1/1/2015 02:11 38.37, -87.54 None
65: 1/1/2015 04:17 38.39, -93.33 Test
66: 1/1/2015 04:19 31.73, -97.56 Drizzle
67: 1/1/2015 04:19 38.35, -76.41 None
68: 1/1/2015 04:23 33.06, -97.11 Drizzle
69: 1/1/2015 04:23 32.26, -110.84 Rain
70: 1/1/2015 04:26 31.37, -100.49 Freezing Rain
71: 1/1/2015 04:31 35.09, -92.22 None
72: 1/1/2015 04:33 31.43, -100.50 Ice Pellets
73: 1/1/2015 04:35 31.37, -100.49 Freezing Rain
74: 1/1/2015 04:35 32.48, -97.75 Rain/Ice Pellets
75: 1/1/2015 04:36 31.74, -97.55 Rain
76: 1/1/2015 04:41 32.64, -97.38 Test
77: 1/1/2015 04:42 31.66, -98.48 Freezing Rain
78: 1/1/2015 04:43 32.97, -96.99 Test
79: 1/1/2015 04:43 32.94, -97.27 Drizzle
80: 1/1/2015 04:44 32.81, -96.58 Test
81: 1/1/2015 04:45 41.05, -102.07 None
82: 1/1/2015 04:47 40.04, -105.27 None
83: 1/1/2015 04:49 33.66, -112.33 Freezing Rain
84: 1/1/2015 04:52 31.74, -97.56 None
85: 1/1/2015 04:52 35.41, -99.44 Test
86: 1/1/2015 04:57 31.42, -100.48 Ice Pellets
87: 1/1/2015 04:58 32.46, -99.79 Ice Pellets
88: 1/1/2015 04:59 32.46, -99.79 Freezing Rain
89: 1/1/2015 05:06 32.60, -97.11 Ice Pellets
90: 1/1/2015 05:08 33.35, -112.44 Rain/Snow
91: 1/1/2015 05:09 33.00, -95.94 Rain
92: 1/1/2015 05:14 33.65, -95.51 None
93: 1/1/2015 05:14 31.45, -97.73 Test
94: 1/1/2015 05:17 31.73, -97.01 Rain
95: 1/1/2015 05:17 31.73, -97.01 Rain
96: 1/1/2015 05:17 28.85, -98.71 Drizzle
97: 1/1/2015 05:25 28.85, -98.71 Drizzle
98: 1/1/2015 05:26 31.51, -97.15 Rain
99: 1/1/2015 05:26 32.41, -99.49 Ice Pellets
100: 1/1/2015 05:26 31.49, -97.14 Rain
101: 1/1/2015 05:29 32.95, -96.69 Drizzle
102: 1/1/2015 05:29 31.50, -97.17 None
103: 1/1/2015 05:30 31.51, -97.19 Rain
104: 1/1/2015 02:11 38.37, -87.54 None
105: 1/1/2015 05:32 35.24, -97.36 Test
106: 1/1/2015 05:35 32.22, -110.97 Rain/Snow
107: 1/1/2015 05:35 32.22, -110.97 Rain/Snow
108: 1/1/2015 05:38 32.31, -110.83 Snow
109: 1/1/2015 05:38 32.29, -110.80 Snow
110: 1/1/2015 05:43 31.47, -97.22 Rain
111: 1/1/2015 05:45 31.74, -97.55 Rain
112: 1/1/2015 05:47 31.36, -97.08 Rain
113: 1/1/2015 05:53 31.08, -97.64 None
114: 1/1/2015 05:56 33.60, -112.05 Freezing Drizzle
115: 1/1/2015 05:58 32.22, -110.76 Snow
116: 1/1/2015 06:00 32.96, -97.56 None
117: 1/1/2015 06:01 32.96, -97.56 Drizzle
118: 1/1/2015 06:01 31.74, -97.55 None
119: 1/1/2015 06:04 32.72, -97.39 None
120: 1/1/2015 06:06 30.71, -97.76 Drizzle
121: 1/1/2015 06:10 32.96, -97.56 Freezing Rain
122: 1/1/2015 06:11 32.48, -97.75 Rain/Ice Pellets
123: 1/1/2015 06:11 33.28, -111.87 Rain
124: 1/1/2015 06:12 41.85, -87.99 Test
125: 1/1/2015 06:15 31.11, -97.44 Rain
126: 1/1/2015 06:22 28.85, -98.71 Drizzle
127: 1/1/2015 06:10 32.96, -97.56 Freezing Rain
128: 1/1/2015 06:34 33.60, -112.05 None
129: 1/1/2015 06:35 31.10, -97.49 Rain
130: 1/1/2015 06:35 35.34, -97.47 Test
131: 1/1/2015 06:36 34.66, -99.34 Freezing Rain
132: 1/1/2015 06:37 32.22, -110.97 Snow
133: 1/1/2015 06:40 31.47, -97.11 Drizzle
134: 1/1/2015 06:41 34.87, -98.22 Test
135: 1/1/2015 06:42 32.72, -97.39 Freezing Drizzle
136: 1/1/2015 06:43 32.47, -97.22 Rain
137: 1/1/2015 06:45 40.88, -96.73 None
