time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-12-31T23:54:33.900Z,46.9093333,-120.8703333,4,1.45,md,17,79,0.1791,0.17,uw,uw60944157,2015-01-06T21:10:05.090Z,"24km NNW of Tieton, Washington",earthquake
2014-12-31T23:48:23.910Z,38.8465004,-122.8266678,2.48,0.55,md,10,64,0.00855,0.01,nc,nc72373211,2015-01-01T01:56:02.965Z,"9km WNW of Cobb, California",earthquake
2014-12-31T23:39:47.670Z,38.847168,-122.8296661,2.24,0.81,md,7,78,0.008961,0.02,nc,nc72373206,2015-01-01T01:44:05.056Z,"9km WNW of Cobb, California",earthquake
2014-12-31T23:33:45.600Z,37.6345,-118.875,8.52,0.87,md,22,86,0.0182,0.03,nc,nc72373201,2015-01-02T22:22:03.921Z,"8km E of Mammoth Lakes, California",earthquake
2014-12-31T23:28:08.420Z,38.6947,-118.0388,15,1.27,ml,5,261.21,0.285,,nn,nn00474711,2014-12-31T23:29:54.189Z,"21km SSW of Gabbs, Nevada",earthquake
2014-12-31T23:16:50.000Z,64.9899,-147.3483,0,1.2,ml,,,,0.25,ak,ak11477033,2015-01-01T00:12:05.031Z,"22km NNE of Badger, Alaska",earthquake
2014-12-31T23:16:30.370Z,37.6536667,-118.8963333,6.87,0.17,md,7,183,0.009265,0.03,nc,nc72373196,2015-01-01T02:51:55.770Z,"6km E of Mammoth Lakes, California",earthquake
2014-12-31T23:14:32.661Z,41.8542,-119.6039,3.4595,1.19,ml,4,224.82,0.174,0.1877,nn,nn00474710,2014-12-31T23:27:32.032Z,"71km ESE of Lakeview, Oregon",earthquake
2014-12-31T23:05:47.210Z,37.0921667,-122.238,14.75,1.34,md,15,200,0.07201,0.08,nc,nc72373191,2015-01-01T06:42:03.567Z,"9km NW of Bonny Doon, California",earthquake
2014-12-31T23:05:12.640Z,37.6375,-118.8795,8.7,0.12,md,8,139,0.01539,0.01,nc,nc72373186,2015-01-01T02:47:54.750Z,"8km E of Mammoth Lakes, California",earthquake
2014-12-31T23:02:37.502Z,40.9904,-118.4163,28.7735,2.12,ml,5,266.86,1.478,0.0958,nn,nn00475963,2015-01-08T00:19:44.787Z,"57km W of Winnemucca, Nevada",earthquake
2014-12-31T23:01:43.720Z,37.6356667,-118.8803333,9.08,0.34,md,9,132,0.01573,0.02,nc,nc72373181,2015-01-01T02:46:54.060Z,"8km E of Mammoth Lakes, California",earthquake
2014-12-31T22:48:24.712Z,41.8491,-119.6034,3.8372,1.33,ml,4,225.62,0.177,0.1108,nn,nn00474709,2014-12-31T23:27:24.426Z,"72km ESE of Lakeview, Oregon",earthquake
2014-12-31T22:45:16.760Z,38.3518333,-122.3938333,7.34,1.54,md,18,78,0.05119,0.06,nc,nc72373176,2015-01-01T07:39:05.518Z,"6km SSW of Yountville, California",earthquake
2014-12-31T22:42:48.000Z,63.3023,-144.0592,1.7,1.2,ml,,,,0.45,ak,ak11477027,2015-01-01T00:12:03.108Z,"53km W of Tok, Alaska",earthquake
2014-12-31T22:36:44.000Z,64.8345,-148.115,21.5,0.8,ml,,,,0.11,ak,ak11476960,2014-12-31T23:04:32.739Z,"4km WSW of Ester, Alaska",earthquake
2014-12-31T22:23:47.000Z,62.9438,-151.2569,124,1.6,ml,,,,0.32,ak,ak11476957,2015-01-01T00:12:04.396Z,"90km NW of Talkeetna, Alaska",earthquake
2014-12-31T22:23:08.430Z,34.0045,-117.2171667,16.96,1.12,ml,19,163,0.09664,0.1,ci,ci37300664,2015-01-02T22:13:10.590Z,"6km SSW of Redlands, California",earthquake
2014-12-31T22:17:01.383Z,41.8455,-119.6298,3.7024,0.33,ml,4,225.68,0.165,0.0799,nn,nn00475014,2015-01-03T00:38:25.489Z,"70km ESE of Lakeview, Oregon",earthquake
2014-12-31T22:13:17.030Z,33.9958333,-116.8263333,13.55,1.1,ml,25,59,0.04214,0.11,ci,ci37300656,2015-01-02T22:08:05.020Z,"9km NNE of Banning, California",earthquake
